pwm,voltage,speed
48,2.196777,0
241,2.207251,18.7973
222,2.207251,16.08138
30,2.206445,0
82,2.20564,4.549907
181,2.209668,12.68715
239,2.207251,18.30744
39,2.204834,0
177,2.206445,12.2897
200,2.208057,14.10051
49,2.189526,0
195,2.214502,13.73963
206,2.190332,14.57315
142,2.213696,9.349144
43,2.206445,1.261092
118,2.209668,7.198323
24,2.193554,0
179,2.207251,12.19335
246,2.212085,19.56818
119,2.208057,7.625003
70,2.203223,3.411319
246,2.204834,19.55454
39,2.202417,1.0221
116,2.207251,7.021512
79,2.208862,3.960177
164,2.206445,11.34649
50,2.208057,1.961404
80,2.200806,4.375307
83,2.204834,4.357247
211,2.203223,15.18059
251,2.186303,19.45283
252,2.208057,18.68861
232,2.207251,16.84031
54,2.20564,2.195103
6,2.208862,0
104,2.196777,6.228129
7,2.206445,0
30,2.206445,0
214,2.207251,15.16491
224,2.208057,16.30523
43,2.208862,0
147,2.203223,9.85839
173,2.209668,11.91993
138,2.214502,8.85739
158,2.206445,10.66574
56,2.20564,0
206,2.20564,13.96499
16,2.195972,0
48,2.217725,0
152,2.204834,9.822082
172,2.20564,11.84979
194,2.196777,13.5652
57,2.208862,2.550495
255,2.206445,19.18179
204,2.206445,14.38287
133,2.202417,8.716767
6,2.225781,0
126,2.20564,8.148129
162,2.207251,11.01818
79,2.203223,4.211025
137,2.196777,8.995204
101,2.20564,6.102479
9,2.2,0
110,2.206445,6.563582
149,2.204028,9.994568
47,2.207251,0
67,2.204834,3.318789
29,2.20564,0
43,2.204834,0
48,2.20564,0
81,2.215308,4.527404
169,2.208057,11.45814
100,2.185498,5.961548
120,2.206445,7.359669
79,2.203223,4.062989
248,2.200806,19.33145
1,2.18872,0
218,2.195166,15.57202
255,2.206445,19.42396
35,2.186303,0
18,2.18872,0
137,2.204834,9.137478
109,2.206445,6.592533
178,2.204028,12.21773
238,2.195972,17.69433
149,2.213696,9.793972
210,2.206445,14.45048
146,2.189526,9.621264
247,2.206445,19.27807
221,2.20564,15.52017
95,2.207251,5.285069
210,2.208057,14.58059
72,2.207251,3.522944
196,2.206445,14.48874
251,2.20564,19.30176
55,2.206445,2.354213
161,2.208057,10.8962
35,2.207251,0
213,2.203223,15.30767
68,2.208057,3.242386
1,2.207251,0
105,2.207251,6.366562
164,2.207251,11.19048
88,2.192749,4.931113
194,2.206445,13.45125
26,2.195166,0
220,2.206445,15.6432
239,2.206445,17.66369
221,2.208057,15.40888
235,2.19436,16.92614
96,2.206445,5.609566
24,2.207251,0
147,2.20564,9.713363
209,2.206445,15.10047
227,2.197583,16.22891
215,2.207251,15.15847
5,2.208057,0
133,2.209668,8.301473
20,2.207251,0
191,2.207251,13.20863
38,2.20564,0
223,2.217725,16.01154
217,2.19436,15.74102
66,2.206445,3.06601
68,2.196777,3.452929
216,2.207251,15.17135
138,2.20564,9.142797
236,2.207251,17.2093
43,2.20564,1.052893
57,2.202417,2.221535
134,2.204834,8.413342
131,2.191943,8.340084
166,2.20564,11.11565
221,2.202417,16.39799
10,2.208862,0
205,2.20564,14.52491
173,2.204834,11.70062
93,2.20564,5.568245
215,2.206445,15.47278
78,2.206445,4.19834
149,2.204834,9.722982
251,2.204834,18.95861
165,2.198389,11.1779
81,2.208862,4.545049
129,2.208862,8.409154
92,2.207251,5.293243
35,2.186303,0
141,2.207251,9.062566
133,2.208057,8.574028
243,2.206445,18.7699
174,2.206445,12.09505
205,2.208862,14.56167
104,2.20564,6.27583
108,2.204834,6.645049
231,2.193554,16.58393
120,2.19436,7.682921
108,2.206445,6.570363
12,2.208057,0
158,2.20564,10.57078
62,2.195972,2.89376
226,2.206445,16.08483
176,2.208862,12.4531
44,2.206445,1.275938
171,2.204834,11.72534
123,2.204834,7.817008
195,2.204834,13.15024
47,2.209668,1.669927
102,2.199194,6.232824
212,2.234644,15.20248
174,2.185498,12.26638
9,2.206445,0
117,2.206445,7.446227
63,2.213696,2.779413
142,2.185498,9.397075
237,2.206445,17.7439
228,2.206445,16.72341
75,2.196777,4.109128
24,2.20564,0
181,2.2,12.9685
97,2.208862,5.80903
86,2.195166,4.604955
112,2.209668,6.866329
76,2.209668,4.099209
11,2.204028,0
219,2.213696,15.50607
79,2.206445,4.176928
183,2.20564,12.70367
184,2.18872,12.96721
215,2.19436,15.29604
177,2.207251,12.375
185,2.206445,12.86526
25,2.206445,0
54,2.196777,0
170,2.207251,11.60175
243,2.206445,18.47713
58,2.208057,2.57244
52,2.208057,2.086752
216,2.202417,15.09946
220,2.19436,15.52308
83,2.201611,4.471751
218,2.208057,15.344
157,2.208862,10.40731
7,2.206445,0
101,2.195972,5.846716
21,2.201611,0
255,2.204834,19.11177
210,2.189526,14.79761
13,2.208057,0
59,2.212085,2.439477
221,2.208057,15.55306
102,2.207251,5.997879
111,2.208057,6.601871
93,2.204834,5.26491
229,2.20564,16.20714
49,2.206445,1.743001
98,2.199194,5.758304
253,2.206445,19.20735
112,2.207251,7.074193
43,2.204834,1.273728
25,2.204834,0
80,2.207251,4.420956
29,2.2,0
0,2.214502,0
174,2.20564,11.89988
229,2.20564,16.5128
14,2.208862,0
213,2.207251,14.81031
238,2.203223,17.61121
89,2.208862,4.995203
199,2.196777,14.01971
110,2.206445,6.723177
177,2.208057,12.30916
156,2.206445,10.63087
7,2.208057,0
213,2.198389,15.34955
156,2.216114,10.56069
212,2.204834,14.94744
203,2.206445,14.51538
88,2.196777,4.96434
186,2.20564,13.07167
162,2.19436,11.24222
29,2.207251,0
166,2.207251,11.5292
114,2.204028,6.893177
127,2.207251,8.000674
248,2.208057,19.0751
1,2.207251,0
206,2.207251,14.32934
22,2.202417,0
187,2.203223,12.92624
197,2.201611,13.50479
201,2.208862,13.94776
120,2.203223,7.691649
223,2.207251,15.75381
74,2.208057,3.796762
74,2.206445,4.079758
54,2.207251,2.161146
20,2.207251,0
215,2.209668,15.05575
75,2.191943,3.875179
57,2.2,2.176984
54,2.208862,2.008082
204,2.20564,13.98476
252,2.206445,19.1262
199,2.2,14.23029
2,2.207251,0
204,2.20564,14.15821
70,2.191943,3.605531
202,2.207251,13.90873
172,2.20564,11.51349
186,2.197583,12.71426
218,2.203223,15.43507
17,2.220142,0
128,2.206445,8.249158
84,2.206445,4.797643
173,2.204834,11.88943
57,2.20564,2.527241
21,2.204834,0
116,2.196777,7.138978
92,2.20564,5.18877
103,2.195972,5.98385
196,2.187109,13.78569
138,2.206445,9.017149
255,2.208057,19.42612
171,2.207251,11.76626
215,2.208862,15.50944
155,2.208057,10.46598
9,2.206445,0
169,2.207251,11.69609
213,2.203223,14.47458
162,2.20564,10.90392
42,2.206445,0
234,2.2,17.31955
180,2.206445,12.5472
201,2.220948,14.0895
101,2.20564,5.969183
249,2.207251,19.46657
19,2.206445,0
1,2.208057,0
225,2.209668,16.34646
168,2.207251,11.47178
155,2.207251,10.58132
93,2.206445,5.587518
216,2.192749,15.5509
220,2.190332,15.66629
79,2.20564,4.23304
71,2.199194,3.464773
229,2.204834,16.11172
91,2.20564,5.269537
226,2.206445,16.27869
165,2.208057,11.35338
148,2.206445,10.0665
92,2.206445,5.128076
8,2.206445,0
